"gene_id","gene_name","gene_type","Individuals","Tissue","Residual","n.isoforms"
"ENSG00000000419.7","DPM1","protein_coding",0.132939021,0.061152122,0.805908857,8
"ENSG00000000457.8","SCYL3","protein_coding",0.102236975,0.102864076,0.794898949,5
"ENSG00000000460.11","C1orf112","protein_coding",0.105959196,0.062398372,0.831642433,10
"ENSG00000000938.7","FGR","protein_coding",0.093473865,0.128493076,0.778033059,9
"ENSG00000000971.10","CFH","protein_coding",0.0934967,0.173308763,0.733194537,7
"ENSG00000001036.8","FUCA2","protein_coding",0.103954346,0.145524993,0.750520661,4
"ENSG00000001084.6","GCLC","protein_coding",0.109825869,0.072603289,0.817570842,12
"ENSG00000001167.10","NFYA","protein_coding",0.064797318,0.310199283,0.625003399,2
"ENSG00000001460.12","C1orf201","protein_coding",0.098355483,0.09467616,0.806968357,15
"ENSG00000001461.11","NIPAL3","protein_coding",0.094009813,0.167023187,0.738966999,8
"ENSG00000001497.12","LAS1L","protein_coding",0.074217474,0.180503006,0.74527952,6
"ENSG00000001561.5","ENPP4","protein_coding",0.08772836,0.125041352,0.787230288,2
"ENSG00000001617.7","SEMA3F","protein_coding",0.100461995,0.13686609,0.762671915,9
"ENSG00000001629.5","ANKIB1","protein_coding",0.091210109,0.146804116,0.761985775,7
"ENSG00000001630.10","CYP51A1","protein_coding",0.092647489,0.163158999,0.744193512,6
"ENSG00000001631.9","KRIT1","protein_coding",0.095579016,0.11431019,0.790110794,25
"ENSG00000002016.11","RAD52","protein_coding",0.117480757,0.073373692,0.809145551,23
"ENSG00000002330.8","BAD","protein_coding",0.110854632,0.054884672,0.834260696,8
"ENSG00000002549.7","LAP3","protein_coding",0.112001707,0.159180199,0.728818094,9
"ENSG00000002586.12","CD99","protein_coding",0.146246665,0.247512193,0.606241141,9
"ENSG00000002822.9","MAD1L1","protein_coding",0.089350608,0.139334104,0.771315288,25
"ENSG00000002834.11","LASP1","protein_coding",0.083885553,0.171943984,0.744170463,5
"ENSG00000002919.9","SNX11","protein_coding",0.088458056,0.110882907,0.800659036,4
"ENSG00000002933.3","TMEM176A","protein_coding",0.082359468,0.084196644,0.833443888,11
"ENSG00000003056.3","M6PR","protein_coding",0.106998947,0.139266272,0.753734781,12
"ENSG00000003147.13","ICA1","protein_coding",0.08409024,0.128917431,0.786992329,18
"ENSG00000003249.8","DBNDD1","protein_coding",0.090911973,0.077931,0.831157027,7
"ENSG00000003393.10","ALS2","protein_coding",0.097948583,0.098640905,0.803410512,13
"ENSG00000003400.10","CASP10","protein_coding",0.090731847,0.068315216,0.840952937,13
"ENSG00000003402.12","CFLAR","protein_coding",0.112369054,0.154800677,0.732830269,27
"ENSG00000003436.10","TFPI","protein_coding",0.105045166,0.085033967,0.809920867,13
"ENSG00000003509.11","C2orf56","protein_coding",0.090184598,0.067955558,0.841859845,13
"ENSG00000003756.11","RBM5","protein_coding",0.110436429,0.121685219,0.767878352,30
"ENSG00000003987.9","MTMR7","protein_coding",0.097766246,0.120158426,0.782075328,10
"ENSG00000004059.5","ARF5","protein_coding",0.141460901,0.187898183,0.670640916,7
"ENSG00000004139.8","SARM1","protein_coding",0.127718067,0.090065033,0.7822169,3
"ENSG00000004399.8","PLXND1","protein_coding",0.118105767,0.127175794,0.754718439,18
"ENSG00000004455.11","AK2","protein_coding",0.114872337,0.159676625,0.725451038,14
"ENSG00000004478.5","FKBP4","protein_coding",0.10658424,0.230665627,0.662750132,7
"ENSG00000004487.10","KDM1A","protein_coding",0.100178142,0.135248335,0.764573523,6
"ENSG00000004534.9","RBM6","protein_coding",0.096035144,0.126403494,0.777561362,22
"ENSG00000004660.10","CAMKK1","protein_coding",0.087664373,0.224840541,0.687495087,5
"ENSG00000004700.11","RECQL","protein_coding",0.10939138,0.068040891,0.822567729,8
"ENSG00000004766.11","CCDC132","protein_coding",0.10172457,0.073855935,0.824419496,23
"ENSG00000004776.5","HSPB6","protein_coding",0.085430337,0.38232212,0.532247543,2
"ENSG00000004777.10","ARHGAP33","protein_coding",0.088980717,0.163816245,0.747203037,4
"ENSG00000004779.5","NDUFAB1","protein_coding",0.110311751,0.13497612,0.754712129,5
"ENSG00000004799.6","PDK4","protein_coding",0.102575865,0.135667618,0.761756517,6
"ENSG00000004838.9","ZMYND10","protein_coding",0.08750912,0.092932132,0.819558748,9
"ENSG00000004864.8","SLC25A13","protein_coding",0.102891153,0.115059626,0.78204922,9
"ENSG00000004866.13","ST7","protein_coding",0.099652865,0.117999449,0.782347685,29
"ENSG00000004897.6","CDC27","protein_coding",0.095061872,0.082187838,0.822750289,20
"ENSG00000004961.10","HCCS","protein_coding",0.101644455,0.1564184,0.741937145,3
"ENSG00000004975.7","DVL2","protein_coding",0.099923617,0.096948952,0.803127431,15
"ENSG00000005020.8","SKAP2","protein_coding",0.078921619,0.114277062,0.806801318,10
"ENSG00000005022.5","SLC25A5","protein_coding",0.142114315,0.080349103,0.777536581,4
"ENSG00000005059.11","CCDC109B","protein_coding",0.106097498,0.113181677,0.780720824,5
"ENSG00000005075.11","POLR2J","protein_coding",0.117039297,0.09065342,0.792307282,2
"ENSG00000005100.8","DHX33","protein_coding",0.105717522,0.098831338,0.79545114,5
"ENSG00000005156.5","LIG3","protein_coding",0.092603274,0.069701186,0.83769554,4
"ENSG00000005175.5","RPAP3","protein_coding",0.09023087,0.122795783,0.786973347,7
"ENSG00000005187.7","ACSM3","protein_coding",0.085144281,0.165655509,0.749200211,15
"ENSG00000005189.14","AC004381.6","protein_coding",0.110434248,0.052229272,0.83733648,20
"ENSG00000005194.10","CIAPIN1","protein_coding",0.101549871,0.06451002,0.83394011,15
"ENSG00000005206.9","SPPL2B","protein_coding",0.060539483,0.152808058,0.786652459,2
"ENSG00000005238.13","FAM214B","protein_coding",0.095303861,0.161327685,0.743368454,7
"ENSG00000005249.6","PRKAR2B","protein_coding",0.091883053,0.140385632,0.767731315,5
"ENSG00000005302.12","MSL3","protein_coding",0.097752206,0.148872174,0.75337562,18
